AIRCRAFT ORIGIN ARRIVAL DESTINATION DEPARTURE AIRLINE
ECMGZ EHAM 22:25 - - VLG
ECLQM EDDT 17:30 LBSF 22:03 VLG
GCELG EGCC 09:35 EGCC 10:57 EXS
GEZTA LFPG 22:22 - - EZY
DAISG EDDF 21:11 - - DLH
N900JG LLBG 09:40 LIML 13:35 ZZZ
LNDYW EKCH 09:41 EKCH 10:42 NAX
EIDHX LIME 21:43 - - RYR
CFIYE CYYZ 09:47 CYUL 12:36 ROU
ECMJC LDSP 09:50 EHAM 12:26 VLG
HBJYI LSGG 09:54 LSGG 10:46 EZS
ECLQK EIDW 21:27 - - VLG
ECMBE LSZH 09:57 - - VLG
CNRGG GMMN 16:02 GMMN 17:17 RAM
ECMJR LIMC 22:11 - - VLG
TSIMV DTTA 10:03 DTTA 11:17 TAR
ECLQL EGLL 19:56 - - VLG
FF333 LFCK 10:07 - - FAF
GGDFK EGNM 10:08 EGNM 11:10 EXS
ECLRG LEPA 21:09 LEIB 23:19 VLG
N803NW KJFK 10:13 KJFK 12:14 DAL
GEUYC EGLL 18:24 EGLL 19:31 BAW
N283AY KCLT 10:17 KCLT 12:56 AAL
ECMGF EDDF 20:01 - - VLG
ECMLD EGCC 23:09 - - VLG
EIIMU LIML 10:23 LIML 11:36 AZA
ECHUI LEMD 10:25 LEMD 11:26 IBE
ECLRN LICJ 16:19 OLBA 21:21 VLG
GEZWZ EGKK 22:37 - - EZY
CSTTV LPPT 10:29 LPPT 11:50 TAP
PHBXP EHAM 10:30 EHAM 11:35 KLM
CFDAT CYUL 10:34 CYUL 12:46 TSC
EIDHG EDDK 22:43 - - RYR
ECHQI LFMN 23:04 - - VLG
CGTSW CYYZ 10:41 CYYZ 12:36 TSC
ECLZO LEIB 22:56 - - VLG
N76062 KIAD 10:43 - - UAL
FA123 LEBB 10:47 - - FHA
URPSS UKBB 10:48 UKBB 12:44 AUI
4XELD LLBG 10:50 - - ELY
EIEBA EGNX 10:52 EGNX 11:59 RYR
ECLZE LEMG 21:04 LCLK 22:31 VLG
DAISW EDDF 10:55 EDDF 12:18 DLH
PHXRX EHEH 10:56 EHEH 12:02 TRA
TCJVM LTFJ 10:58 LTFJ 12:32 THY
ECLVP LEMD 20:57 EETN 22:01 VLG
URPSO UKBB 11:02 UKBB 13:02 AUI
ECLRM LIPE 21:45 - - VLG
A7AEC OTHH 11:11 OTHH 15:24 QTR
